last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Sparkman, Glenn,642098,93.4,,86.4,82.3,85.7,79.1,,
German, Domingo,593334,93.4,94.0,,,87.0,81.7,,
Senzatela, Antonio,622608,93.7,,,84.3,87.0,78.8,,
Wacha, Michael,608379,93.0,93.2,89.4,,85.5,75.3,,
Arrieta, Jake,453562,91.9,92.5,,89.7,87.5,80.6,,
Pineda, Michael,501381,92.5,91.9,,83.9,87.1,,,
Duffy, Danny,518633,92.3,92.1,,84.0,83.8,76.1,,
Mahle, Tyler,641816,93.3,,90.0,,,80.4,87.0,
Smyly, Drew,592767,91.2,,86.7,,82.3,77.4,,
Velasquez, Vince,592826,94.2,92.0,,86.4,,83.1,,
Yarbrough, Ryan,642232,86.1,88.1,84.1,,79.5,72.8,,
Archer, Chris,502042,94.1,93.9,,88.7,87.7,82.6,,
Clevinger, Mike,605182,95.4,,,80.7,87.1,77.6,,
Lopez, Jorge,605347,94.3,93.8,,88.4,87.5,81.7,,
Sampson, Adrian,592716,,92.5,,83.9,87.4,79.3,,
Jurado, Ariel,642558,93.1,92.0,,85.3,85.2,80.3,,
Woodruff, Brandon,605540,96.4,96.1,,88.4,87.0,81.2,,
Beede, Tyler,595881,94.2,95.6,,86.3,83.9,80.3,,
Keuchel, Dallas,572971,89.5,88.3,86.2,78.6,79.8,,,
Brault, Steven,643230,92.1,91.3,83.5,81.2,84.3,71.1,,
Foltynewicz, Mike,592314,94.8,94.9,,85.3,86.6,79.4,,
Chirinos, Yonny,630023,94.3,93.9,,87.5,,,85.9,
Snell, Blake,605483,95.5,,,87.3,86.4,81.0,,
Pomeranz, Drew,519141,92.9,91.3,88.0,,85.6,81.2,,
LeBlanc, Wade,453281,86.3,86.1,84.1,,78.6,72.5,,
Chacin, Jhoulys,468504,90.0,89.9,,79.8,82.8,77.0,,
Brooks, Aaron,605156,92.0,91.8,,85.6,84.7,78.6,,
Plesac, Zach,668676,93.9,,,84.9,85.8,79.4,,
Zimmermann, Jordan,519455,90.5,90.3,,85.8,87.1,80.2,,
Price, David,456034,91.9,91.9,88.5,,84.1,80.4,,
Beeks, Jalen,656222,92.0,92.6,85.9,,87.2,75.1,,
Ynoa, Gabriel,593679,93.4,93.6,,84.0,85.9,79.9,,
Houser, Adrian,605288,94.5,94.3,,87.9,85.4,80.6,,
Lopez, Pablo,641154,93.6,93.3,,,85.7,79.8,,
Plutko, Adam,592644,91.1,,,85.9,84.1,77.3,,
Strahm, Matt,621381,91.4,92.6,,86.0,84.3,80.2,,
Freeland, Kyle,607536,92.0,91.3,,86.7,86.6,81.2,,
Quantrill, Cal,615698,94.5,94.3,,86.4,84.6,79.5,,
Sabathia, CC,282332,88.8,89.2,88.4,79.3,82.7,,,
Cahill, Trevor,502239,91.8,91.7,85.8,,83.4,79.4,,
Heaney, Andrew,571760,,92.5,,,84.7,79.4,,
Milone, Tommy,543548,87.1,,,79.1,79.4,75.3,,
Rodriguez, Dereck,605446,90.7,89.9,86.6,,84.5,75.6,,
